ID;Name;Alter;Geschlecht;Sprache;Hörgerät;Vorkenntnisse
1;1;65;m;Deutsch;ja;ja
2;2;66;m;Deutsch;ja;ja
3;3;67;m;Deutsch;ja;ja
4;4;68;m;Deutsch;ja;ja
5;5;69;m;Deutsch;ja;ja
6;6;70;m;Deutsch;ja;ja
7;7;71;m;Deutsch;ja;ja
8;8;72;m;Deutsch;ja;ja
9;9;73;m;Deutsch;ja;ja
10;10;74;m;Deutsch;ja;ja
11;11;75;m;Deutsch;ja;ja
12;12;76;m;Deutsch;ja;ja
13;13;77;m;Deutsch;ja;ja
14;14;78;m;Deutsch;ja;ja
15;15;79;m;Deutsch;ja;ja
16;16;80;m;Deutsch;ja;ja
17;17;81;m;Deutsch;ja;ja
18;18;82;m;Deutsch;ja;ja
19;19;83;m;Deutsch;ja;ja
20;20;84;m;Deutsch;ja;ja
21;21;85;m;Deutsch;ja;ja
22;22;86;m;Deutsch;ja;ja
23;23;87;m;Deutsch;ja;ja
24;24;88;m;Deutsch;ja;ja
25;25;89;m;Deutsch;ja;ja
26;26;90;m;Deutsch;ja;ja
27;27;91;m;Deutsch;ja;ja
28;28;92;m;Deutsch;ja;ja
29;29;93;m;Deutsch;ja;ja
30;30;94;m;Deutsch;ja;ja
31;31;95;m;Deutsch;ja;ja
32;32;96;m;Deutsch;ja;ja
33;33;97;m;Deutsch;ja;ja
34;34;98;m;Deutsch;ja;ja
35;35;99;m;Deutsch;ja;ja
36;36;100;m;Deutsch;ja;ja
37;37;65;w;Deutsch;ja;ja
38;38;66;w;Deutsch;ja;ja
39;39;67;w;Deutsch;ja;ja
40;40;68;w;Deutsch;ja;ja
41;41;69;w;Deutsch;ja;ja
42;42;70;w;Deutsch;ja;ja
43;43;71;w;Deutsch;ja;ja
44;44;72;w;Deutsch;ja;ja
45;45;73;w;Deutsch;ja;ja
46;46;74;w;Deutsch;ja;ja
47;47;75;w;Deutsch;ja;ja
48;48;76;w;Deutsch;ja;ja
49;49;77;w;Deutsch;ja;ja
50;50;78;w;Deutsch;ja;ja
51;51;79;w;Deutsch;ja;ja
52;52;80;w;Deutsch;ja;ja
53;53;81;w;Deutsch;ja;ja
54;54;82;w;Deutsch;ja;ja
55;55;83;w;Deutsch;ja;ja
56;56;84;w;Deutsch;ja;ja
57;57;85;w;Deutsch;ja;ja
58;58;86;w;Deutsch;ja;ja
59;59;87;w;Deutsch;ja;ja
60;60;88;w;Deutsch;ja;ja
61;61;89;w;Deutsch;ja;ja
62;62;90;w;Deutsch;ja;ja
63;63;91;w;Deutsch;ja;ja
64;64;92;w;Deutsch;ja;ja
65;65;93;w;Deutsch;ja;ja
66;66;94;w;Deutsch;ja;ja
67;67;95;w;Deutsch;ja;ja
68;68;96;w;Deutsch;ja;ja
69;69;97;w;Deutsch;ja;ja
70;70;98;w;Deutsch;ja;ja
71;71;99;w;Deutsch;ja;ja
72;72;100;w;Deutsch;ja;ja
73;73;65;m;Englisch;ja;ja
74;74;66;m;Englisch;ja;ja
75;75;67;m;Englisch;ja;ja
76;76;68;m;Englisch;ja;ja
77;77;69;m;Englisch;ja;ja
78;78;70;m;Englisch;ja;ja
79;79;71;m;Englisch;ja;ja
80;80;72;m;Englisch;ja;ja
81;81;73;m;Englisch;ja;ja
82;82;74;m;Englisch;ja;ja
83;83;75;m;Englisch;ja;ja
84;84;76;m;Englisch;ja;ja
85;85;77;m;Englisch;ja;ja
86;86;78;m;Englisch;ja;ja
87;87;79;m;Englisch;ja;ja
88;88;80;m;Englisch;ja;ja
89;89;81;m;Englisch;ja;ja
90;90;82;m;Englisch;ja;ja
91;91;83;m;Englisch;ja;ja
92;92;84;m;Englisch;ja;ja
93;93;85;m;Englisch;ja;ja
94;94;86;m;Englisch;ja;ja
95;95;87;m;Englisch;ja;ja
96;96;88;m;Englisch;ja;ja
97;97;89;m;Englisch;ja;ja
98;98;90;m;Englisch;ja;ja
99;99;91;m;Englisch;ja;ja
100;100;92;m;Englisch;ja;ja
101;101;93;m;Englisch;ja;ja
102;102;94;m;Englisch;ja;ja
103;103;95;m;Englisch;ja;ja
104;104;96;m;Englisch;ja;ja
105;105;97;m;Englisch;ja;ja
106;106;98;m;Englisch;ja;ja
107;107;99;m;Englisch;ja;ja
108;108;100;m;Englisch;ja;ja
109;109;65;w;Englisch;ja;ja
110;110;66;w;Englisch;ja;ja
111;111;67;w;Englisch;ja;ja
112;112;68;w;Englisch;ja;ja
113;113;69;w;Englisch;ja;ja
114;114;70;w;Englisch;ja;ja
115;115;71;w;Englisch;ja;ja
116;116;72;w;Englisch;ja;ja
117;117;73;w;Englisch;ja;ja
118;118;74;w;Englisch;ja;ja
119;119;75;w;Englisch;ja;ja
120;120;76;w;Englisch;ja;ja
121;121;77;w;Englisch;ja;ja
122;122;78;w;Englisch;ja;ja
123;123;79;w;Englisch;ja;ja
124;124;80;w;Englisch;ja;ja
125;125;81;w;Englisch;ja;ja
126;126;82;w;Englisch;ja;ja
127;127;83;w;Englisch;ja;ja
128;128;84;w;Englisch;ja;ja
129;129;85;w;Englisch;ja;ja
130;130;86;w;Englisch;ja;ja
131;131;87;w;Englisch;ja;ja
132;132;88;w;Englisch;ja;ja
133;133;89;w;Englisch;ja;ja
134;134;90;w;Englisch;ja;ja
135;135;91;w;Englisch;ja;ja
136;136;92;w;Englisch;ja;ja
137;137;93;w;Englisch;ja;ja
138;138;94;w;Englisch;ja;ja
139;139;95;w;Englisch;ja;ja
140;140;96;w;Englisch;ja;ja
141;141;97;w;Englisch;ja;ja
142;142;98;w;Englisch;ja;ja
143;143;99;w;Englisch;ja;ja
144;144;100;w;Englisch;ja;ja
145;145;65;m;Deutsch;nein;ja
146;146;66;m;Deutsch;nein;ja
147;147;67;m;Deutsch;nein;ja
148;148;68;m;Deutsch;nein;ja
149;149;69;m;Deutsch;nein;ja
150;150;70;m;Deutsch;nein;ja
151;151;71;m;Deutsch;nein;ja
152;152;72;m;Deutsch;nein;ja
153;153;73;m;Deutsch;nein;ja
154;154;74;m;Deutsch;nein;ja
155;155;75;m;Deutsch;nein;ja
156;156;76;m;Deutsch;nein;ja
157;157;77;m;Deutsch;nein;ja
158;158;78;m;Deutsch;nein;ja
159;159;79;m;Deutsch;nein;ja
160;160;80;m;Deutsch;nein;ja
161;161;81;m;Deutsch;nein;ja
162;162;82;m;Deutsch;nein;ja
163;163;83;m;Deutsch;nein;ja
164;164;84;m;Deutsch;nein;ja
165;165;85;m;Deutsch;nein;ja
166;166;86;m;Deutsch;nein;ja
167;167;87;m;Deutsch;nein;ja
168;168;88;m;Deutsch;nein;ja
169;169;89;m;Deutsch;nein;ja
170;170;90;m;Deutsch;nein;ja
171;171;91;m;Deutsch;nein;ja
172;172;92;m;Deutsch;nein;ja
173;173;93;m;Deutsch;nein;ja
174;174;94;m;Deutsch;nein;ja
175;175;95;m;Deutsch;nein;ja
176;176;96;m;Deutsch;nein;ja
177;177;97;m;Deutsch;nein;ja
178;178;98;m;Deutsch;nein;ja
179;179;99;m;Deutsch;nein;ja
180;180;100;m;Deutsch;nein;ja
181;181;65;w;Deutsch;nein;ja
182;182;66;w;Deutsch;nein;ja
183;183;67;w;Deutsch;nein;ja
184;184;68;w;Deutsch;nein;ja
185;185;69;w;Deutsch;nein;ja
186;186;70;w;Deutsch;nein;ja
187;187;71;w;Deutsch;nein;ja
188;188;72;w;Deutsch;nein;ja
189;189;73;w;Deutsch;nein;ja
190;190;74;w;Deutsch;nein;ja
191;191;75;w;Deutsch;nein;ja
192;192;76;w;Deutsch;nein;ja
193;193;77;w;Deutsch;nein;ja
194;194;78;w;Deutsch;nein;ja
195;195;79;w;Deutsch;nein;ja
196;196;80;w;Deutsch;nein;ja
197;197;81;w;Deutsch;nein;ja
198;198;82;w;Deutsch;nein;ja
199;199;83;w;Deutsch;nein;ja
200;200;84;w;Deutsch;nein;ja
201;201;85;w;Deutsch;nein;ja
202;202;86;w;Deutsch;nein;ja
203;203;87;w;Deutsch;nein;ja
204;204;88;w;Deutsch;nein;ja
205;205;89;w;Deutsch;nein;ja
206;206;90;w;Deutsch;nein;ja
207;207;91;w;Deutsch;nein;ja
208;208;92;w;Deutsch;nein;ja
209;209;93;w;Deutsch;nein;ja
210;210;94;w;Deutsch;nein;ja
211;211;95;w;Deutsch;nein;ja
212;212;96;w;Deutsch;nein;ja
213;213;97;w;Deutsch;nein;ja
214;214;98;w;Deutsch;nein;ja
215;215;99;w;Deutsch;nein;ja
216;216;100;w;Deutsch;nein;ja
217;217;65;m;Englisch;nein;ja
218;218;66;m;Englisch;nein;ja
219;219;67;m;Englisch;nein;ja
220;220;68;m;Englisch;nein;ja
221;221;69;m;Englisch;nein;ja
222;222;70;m;Englisch;nein;ja
223;223;71;m;Englisch;nein;ja
224;224;72;m;Englisch;nein;ja
225;225;73;m;Englisch;nein;ja
226;226;74;m;Englisch;nein;ja
227;227;75;m;Englisch;nein;ja
228;228;76;m;Englisch;nein;ja
229;229;77;m;Englisch;nein;ja
230;230;78;m;Englisch;nein;ja
231;231;79;m;Englisch;nein;ja
232;232;80;m;Englisch;nein;ja
233;233;81;m;Englisch;nein;ja
234;234;82;m;Englisch;nein;ja
235;235;83;m;Englisch;nein;ja
236;236;84;m;Englisch;nein;ja
237;237;85;m;Englisch;nein;ja
238;238;86;m;Englisch;nein;ja
239;239;87;m;Englisch;nein;ja
240;240;88;m;Englisch;nein;ja
241;241;89;m;Englisch;nein;ja
242;242;90;m;Englisch;nein;ja
243;243;91;m;Englisch;nein;ja
244;244;92;m;Englisch;nein;ja
245;245;93;m;Englisch;nein;ja
246;246;94;m;Englisch;nein;ja
247;247;95;m;Englisch;nein;ja
248;248;96;m;Englisch;nein;ja
249;249;97;m;Englisch;nein;ja
250;250;98;m;Englisch;nein;ja
251;251;99;m;Englisch;nein;ja
252;252;100;m;Englisch;nein;ja
253;253;65;w;Englisch;nein;ja
254;254;66;w;Englisch;nein;ja
255;255;67;w;Englisch;nein;ja
256;256;68;w;Englisch;nein;ja
257;257;69;w;Englisch;nein;ja
258;258;70;w;Englisch;nein;ja
259;259;71;w;Englisch;nein;ja
260;260;72;w;Englisch;nein;ja
261;261;73;w;Englisch;nein;ja
262;262;74;w;Englisch;nein;ja
263;263;75;w;Englisch;nein;ja
264;264;76;w;Englisch;nein;ja
265;265;77;w;Englisch;nein;ja
266;266;78;w;Englisch;nein;ja
267;267;79;w;Englisch;nein;ja
268;268;80;w;Englisch;nein;ja
269;269;81;w;Englisch;nein;ja
270;270;82;w;Englisch;nein;ja
271;271;83;w;Englisch;nein;ja
272;272;84;w;Englisch;nein;ja
273;273;85;w;Englisch;nein;ja
274;274;86;w;Englisch;nein;ja
275;275;87;w;Englisch;nein;ja
276;276;88;w;Englisch;nein;ja
277;277;89;w;Englisch;nein;ja
278;278;90;w;Englisch;nein;ja
279;279;91;w;Englisch;nein;ja
280;280;92;w;Englisch;nein;ja
281;281;93;w;Englisch;nein;ja
282;282;94;w;Englisch;nein;ja
283;283;95;w;Englisch;nein;ja
284;284;96;w;Englisch;nein;ja
285;285;97;w;Englisch;nein;ja
286;286;98;w;Englisch;nein;ja
287;287;99;w;Englisch;nein;ja
288;288;100;w;Englisch;nein;ja
289;289;65;m;Deutsch;ja;nein
290;290;66;m;Deutsch;ja;nein
291;291;67;m;Deutsch;ja;nein
292;292;68;m;Deutsch;ja;nein
293;293;69;m;Deutsch;ja;nein
294;294;70;m;Deutsch;ja;nein
295;295;71;m;Deutsch;ja;nein
296;296;72;m;Deutsch;ja;nein
297;297;73;m;Deutsch;ja;nein
298;298;74;m;Deutsch;ja;nein
299;299;75;m;Deutsch;ja;nein
300;300;76;m;Deutsch;ja;nein
301;301;77;m;Deutsch;ja;nein
302;302;78;m;Deutsch;ja;nein
303;303;79;m;Deutsch;ja;nein
304;304;80;m;Deutsch;ja;nein
305;305;81;m;Deutsch;ja;nein
306;306;82;m;Deutsch;ja;nein
307;307;83;m;Deutsch;ja;nein
308;308;84;m;Deutsch;ja;nein
309;309;85;m;Deutsch;ja;nein
310;310;86;m;Deutsch;ja;nein
311;311;87;m;Deutsch;ja;nein
312;312;88;m;Deutsch;ja;nein
313;313;89;m;Deutsch;ja;nein
314;314;90;m;Deutsch;ja;nein
315;315;91;m;Deutsch;ja;nein
316;316;92;m;Deutsch;ja;nein
317;317;93;m;Deutsch;ja;nein
318;318;94;m;Deutsch;ja;nein
319;319;95;m;Deutsch;ja;nein
320;320;96;m;Deutsch;ja;nein
321;321;97;m;Deutsch;ja;nein
322;322;98;m;Deutsch;ja;nein
323;323;99;m;Deutsch;ja;nein
324;324;100;m;Deutsch;ja;nein
325;325;65;w;Deutsch;ja;nein
326;326;66;w;Deutsch;ja;nein
327;327;67;w;Deutsch;ja;nein
328;328;68;w;Deutsch;ja;nein
329;329;69;w;Deutsch;ja;nein
330;330;70;w;Deutsch;ja;nein
331;331;71;w;Deutsch;ja;nein
332;332;72;w;Deutsch;ja;nein
333;333;73;w;Deutsch;ja;nein
334;334;74;w;Deutsch;ja;nein
335;335;75;w;Deutsch;ja;nein
336;336;76;w;Deutsch;ja;nein
337;337;77;w;Deutsch;ja;nein
338;338;78;w;Deutsch;ja;nein
339;339;79;w;Deutsch;ja;nein
340;340;80;w;Deutsch;ja;nein
341;341;81;w;Deutsch;ja;nein
342;342;82;w;Deutsch;ja;nein
343;343;83;w;Deutsch;ja;nein
344;344;84;w;Deutsch;ja;nein
345;345;85;w;Deutsch;ja;nein
346;346;86;w;Deutsch;ja;nein
347;347;87;w;Deutsch;ja;nein
348;348;88;w;Deutsch;ja;nein
349;349;89;w;Deutsch;ja;nein
350;350;90;w;Deutsch;ja;nein
351;351;91;w;Deutsch;ja;nein
352;352;92;w;Deutsch;ja;nein
353;353;93;w;Deutsch;ja;nein
354;354;94;w;Deutsch;ja;nein
355;355;95;w;Deutsch;ja;nein
356;356;96;w;Deutsch;ja;nein
357;357;97;w;Deutsch;ja;nein
358;358;98;w;Deutsch;ja;nein
359;359;99;w;Deutsch;ja;nein
360;360;100;w;Deutsch;ja;nein
361;361;65;m;Englisch;ja;nein
362;362;66;m;Englisch;ja;nein
363;363;67;m;Englisch;ja;nein
364;364;68;m;Englisch;ja;nein
365;365;69;m;Englisch;ja;nein
366;366;70;m;Englisch;ja;nein
367;367;71;m;Englisch;ja;nein
368;368;72;m;Englisch;ja;nein
369;369;73;m;Englisch;ja;nein
370;370;74;m;Englisch;ja;nein
371;371;75;m;Englisch;ja;nein
372;372;76;m;Englisch;ja;nein
373;373;77;m;Englisch;ja;nein
374;374;78;m;Englisch;ja;nein
375;375;79;m;Englisch;ja;nein
376;376;80;m;Englisch;ja;nein
377;377;81;m;Englisch;ja;nein
378;378;82;m;Englisch;ja;nein
379;379;83;m;Englisch;ja;nein
380;380;84;m;Englisch;ja;nein
381;381;85;m;Englisch;ja;nein
382;382;86;m;Englisch;ja;nein
383;383;87;m;Englisch;ja;nein
384;384;88;m;Englisch;ja;nein
385;385;89;m;Englisch;ja;nein
386;386;90;m;Englisch;ja;nein
387;387;91;m;Englisch;ja;nein
388;388;92;m;Englisch;ja;nein
389;389;93;m;Englisch;ja;nein
390;390;94;m;Englisch;ja;nein
391;391;95;m;Englisch;ja;nein
392;392;96;m;Englisch;ja;nein
393;393;97;m;Englisch;ja;nein
394;394;98;m;Englisch;ja;nein
395;395;99;m;Englisch;ja;nein
396;396;100;m;Englisch;ja;nein
397;397;65;w;Englisch;ja;nein
398;398;66;w;Englisch;ja;nein
399;399;67;w;Englisch;ja;nein
400;400;68;w;Englisch;ja;nein
401;401;69;w;Englisch;ja;nein
402;402;70;w;Englisch;ja;nein
403;403;71;w;Englisch;ja;nein
404;404;72;w;Englisch;ja;nein
405;405;73;w;Englisch;ja;nein
406;406;74;w;Englisch;ja;nein
407;407;75;w;Englisch;ja;nein
408;408;76;w;Englisch;ja;nein
409;409;77;w;Englisch;ja;nein
410;410;78;w;Englisch;ja;nein
411;411;79;w;Englisch;ja;nein
412;412;80;w;Englisch;ja;nein
413;413;81;w;Englisch;ja;nein
414;414;82;w;Englisch;ja;nein
415;415;83;w;Englisch;ja;nein
416;416;84;w;Englisch;ja;nein
417;417;85;w;Englisch;ja;nein
418;418;86;w;Englisch;ja;nein
419;419;87;w;Englisch;ja;nein
420;420;88;w;Englisch;ja;nein
421;421;89;w;Englisch;ja;nein
422;422;90;w;Englisch;ja;nein
423;423;91;w;Englisch;ja;nein
424;424;92;w;Englisch;ja;nein
425;425;93;w;Englisch;ja;nein
426;426;94;w;Englisch;ja;nein
427;427;95;w;Englisch;ja;nein
428;428;96;w;Englisch;ja;nein
429;429;97;w;Englisch;ja;nein
430;430;98;w;Englisch;ja;nein
431;431;99;w;Englisch;ja;nein
432;432;100;w;Englisch;ja;nein
433;433;65;m;Deutsch;nein;nein
434;434;66;m;Deutsch;nein;nein
435;435;67;m;Deutsch;nein;nein
436;436;68;m;Deutsch;nein;nein
437;437;69;m;Deutsch;nein;nein
438;438;70;m;Deutsch;nein;nein
439;439;71;m;Deutsch;nein;nein
440;440;72;m;Deutsch;nein;nein
441;441;73;m;Deutsch;nein;nein
442;442;74;m;Deutsch;nein;nein
443;443;75;m;Deutsch;nein;nein
444;444;76;m;Deutsch;nein;nein
445;445;77;m;Deutsch;nein;nein
446;446;78;m;Deutsch;nein;nein
447;447;79;m;Deutsch;nein;nein
448;448;80;m;Deutsch;nein;nein
449;449;81;m;Deutsch;nein;nein
450;450;82;m;Deutsch;nein;nein
451;451;83;m;Deutsch;nein;nein
452;452;84;m;Deutsch;nein;nein
453;453;85;m;Deutsch;nein;nein
454;454;86;m;Deutsch;nein;nein
455;455;87;m;Deutsch;nein;nein
456;456;88;m;Deutsch;nein;nein
457;457;89;m;Deutsch;nein;nein
458;458;90;m;Deutsch;nein;nein
459;459;91;m;Deutsch;nein;nein
460;460;92;m;Deutsch;nein;nein
461;461;93;m;Deutsch;nein;nein
462;462;94;m;Deutsch;nein;nein
463;463;95;m;Deutsch;nein;nein
464;464;96;m;Deutsch;nein;nein
465;465;97;m;Deutsch;nein;nein
466;466;98;m;Deutsch;nein;nein
467;467;99;m;Deutsch;nein;nein
468;468;100;m;Deutsch;nein;nein
469;469;65;w;Deutsch;nein;nein
470;470;66;w;Deutsch;nein;nein
471;471;67;w;Deutsch;nein;nein
472;472;68;w;Deutsch;nein;nein
473;473;69;w;Deutsch;nein;nein
474;474;70;w;Deutsch;nein;nein
475;475;71;w;Deutsch;nein;nein
476;476;72;w;Deutsch;nein;nein
477;477;73;w;Deutsch;nein;nein
478;478;74;w;Deutsch;nein;nein
479;479;75;w;Deutsch;nein;nein
480;480;76;w;Deutsch;nein;nein
481;481;77;w;Deutsch;nein;nein
482;482;78;w;Deutsch;nein;nein
483;483;79;w;Deutsch;nein;nein
484;484;80;w;Deutsch;nein;nein
485;485;81;w;Deutsch;nein;nein
486;486;82;w;Deutsch;nein;nein
487;487;83;w;Deutsch;nein;nein
488;488;84;w;Deutsch;nein;nein
489;489;85;w;Deutsch;nein;nein
490;490;86;w;Deutsch;nein;nein
491;491;87;w;Deutsch;nein;nein
492;492;88;w;Deutsch;nein;nein
493;493;89;w;Deutsch;nein;nein
494;494;90;w;Deutsch;nein;nein
495;495;91;w;Deutsch;nein;nein
496;496;92;w;Deutsch;nein;nein
497;497;93;w;Deutsch;nein;nein
498;498;94;w;Deutsch;nein;nein
499;499;95;w;Deutsch;nein;nein
500;500;96;w;Deutsch;nein;nein
501;501;97;w;Deutsch;nein;nein
502;502;98;w;Deutsch;nein;nein
503;503;99;w;Deutsch;nein;nein
504;504;100;w;Deutsch;nein;nein
505;505;65;m;Englisch;nein;nein
506;506;66;m;Englisch;nein;nein
507;507;67;m;Englisch;nein;nein
508;508;68;m;Englisch;nein;nein
509;509;69;m;Englisch;nein;nein
510;510;70;m;Englisch;nein;nein
511;511;71;m;Englisch;nein;nein
512;512;72;m;Englisch;nein;nein
513;513;73;m;Englisch;nein;nein
514;514;74;m;Englisch;nein;nein
515;515;75;m;Englisch;nein;nein
516;516;76;m;Englisch;nein;nein
517;517;77;m;Englisch;nein;nein
518;518;78;m;Englisch;nein;nein
519;519;79;m;Englisch;nein;nein
520;520;80;m;Englisch;nein;nein
521;521;81;m;Englisch;nein;nein
522;522;82;m;Englisch;nein;nein
523;523;83;m;Englisch;nein;nein
524;524;84;m;Englisch;nein;nein
525;525;85;m;Englisch;nein;nein
526;526;86;m;Englisch;nein;nein
527;527;87;m;Englisch;nein;nein
528;528;88;m;Englisch;nein;nein
529;529;89;m;Englisch;nein;nein
530;530;90;m;Englisch;nein;nein
531;531;91;m;Englisch;nein;nein
532;532;92;m;Englisch;nein;nein
533;533;93;m;Englisch;nein;nein
534;534;94;m;Englisch;nein;nein
535;535;95;m;Englisch;nein;nein
536;536;96;m;Englisch;nein;nein
537;537;97;m;Englisch;nein;nein
538;538;98;m;Englisch;nein;nein
539;539;99;m;Englisch;nein;nein
540;540;100;m;Englisch;nein;nein
541;541;65;w;Englisch;nein;nein
542;542;66;w;Englisch;nein;nein
543;543;67;w;Englisch;nein;nein
544;544;68;w;Englisch;nein;nein
545;545;69;w;Englisch;nein;nein
546;546;70;w;Englisch;nein;nein
547;547;71;w;Englisch;nein;nein
548;548;72;w;Englisch;nein;nein
549;549;73;w;Englisch;nein;nein
550;550;74;w;Englisch;nein;nein
551;551;75;w;Englisch;nein;nein
552;552;76;w;Englisch;nein;nein
553;553;77;w;Englisch;nein;nein
554;554;78;w;Englisch;nein;nein
555;555;79;w;Englisch;nein;nein
556;556;80;w;Englisch;nein;nein
557;557;81;w;Englisch;nein;nein
558;558;82;w;Englisch;nein;nein
559;559;83;w;Englisch;nein;nein
560;560;84;w;Englisch;nein;nein
561;561;85;w;Englisch;nein;nein
562;562;86;w;Englisch;nein;nein
563;563;87;w;Englisch;nein;nein
564;564;88;w;Englisch;nein;nein
565;565;89;w;Englisch;nein;nein
566;566;90;w;Englisch;nein;nein
567;567;91;w;Englisch;nein;nein
568;568;92;w;Englisch;nein;nein
569;569;93;w;Englisch;nein;nein
570;570;94;w;Englisch;nein;nein
571;571;95;w;Englisch;nein;nein
572;572;96;w;Englisch;nein;nein
573;573;97;w;Englisch;nein;nein
574;574;98;w;Englisch;nein;nein
575;575;99;w;Englisch;nein;nein
576;576;100;w;Englisch;nein;nein
